,data,seed,target,noise,nrmse,rmse,mean_perc_err,mean_perc_err_std,test_type
54,elevation,30,DoK,0,0.015021283979469708,1.965284577578419,0.12513524243539356,0.10410905834492021,
55,elevation,0,logDoK,0,0.07372128503807404,0.1273165624492595,0.11461997405262486,0.1308382158497189,
56,log10flowacc,10,KoD,0,0.022279823069835558,0.008744831511056731,0.07730372473958659,0.06139482544646581,
57,flowacc,0,logDoK,0,0.045890724207129835,0.07925322044157669,0.0675761317274246,0.07070802551855225,
58,log10flowacc,0,logDoK,0,0.021953818913701247,0.037914216433997755,0.029395773194601238,0.02625510770230839,
59,flowacc,10,logKoD,0,0.039819802566725744,0.068768746740991,-0.05748085958252876,0.05977215518457322,
60,flowacc,20,DoK,0,0.046103316510304644,6.031850342271263,0.2261747831288219,0.16353587018933954,
61,flowacc,30,DoK,0,0.021602070191101726,2.826270740128665,0.15749139802377693,0.14247556541735887,
62,log10flowacc,30,logKoD,0,0.020281778767366487,0.035026605297016684,-0.02550361706522196,0.01924125402113669,
63,slope,0,DoK,0,0.003762605511589497,0.4922742019620246,0.03118749482116824,0.028611269972341185,
64,curvature,10,DoK,0,0.004477698849151755,0.5858322433226006,0.03422731916331411,0.03201317456855536,
65,log10flowacc,30,DoK,0,0.01755468949673861,2.2967384532022,0.07963978696964442,0.06093393148002171,
66,log10flowacc,30,KoD,0,0.020585184686267063,0.008079685872780108,0.07536894170128527,0.0588331221999253,
67,curvature,0,logKoD,0,0.009885497288358226,0.017072240835265373,-0.013196677853182808,0.010421421904352732,
68,slope,30,DoK,0,0.005544266203340827,0.7253748000708287,0.045654926712282204,0.03819932576038327,
69,curvature,30,logDoK,0,0.010650976827869502,0.018394222994766316,0.013797925612373476,0.013804556398893936,
70,log10flowacc,10,logDoK,0,0.021366865618484835,0.03690054886395167,0.028324394017505417,0.02453813591803084,
71,flowacc,0,DoK,0,0.03991288860540076,5.22193605619915,0.19231406350372482,0.1622987772093817,
72,slope,30,KoD,0,0.013634407461331693,0.005351505513697979,0.04709929687557783,0.05239579043267263,
73,log10flowacc,30,logDoK,0,0.021473809286931538,0.037085240438919684,0.027901213826602964,0.0203727856671474,
74,flowacc,30,logDoK,0,0.04708788652502918,0.08132071819246389,0.07133377326067568,0.07613552942942739,
75,log10flowacc,0,logKoD,0,0.021954980868701127,0.03791622312875666,-0.02970424132297008,0.02917766212403767,
76,curvature,30,logKoD,0,0.009816379418921523,0.01695287436551443,-0.01414692187397566,0.013445600875057268,
77,curvature,20,logKoD,0,0.007684778724962993,0.013271602766286403,-0.010962130453477993,0.011107748379392539,
78,slope,10,DoK,0,0.005386952608996417,0.70479293894424,0.03213746718980781,0.026496101762020836,
79,log10flowacc,0,DoK,0,0.018220650874864915,2.3838683967864704,0.11596655266994357,0.11335429746284842,
